Number,Date,Name,Phone,Age,Email
1,2024-07-30 12:30:47,Olivia Miller,+374 00 023456,45,olivia.miller@example.com
2,2025-05-05 10:22:30,John Smith,+374 00 013578,32,john.smith@mail.com
3,2024-11-20 15:45:12,Emily Davis,+374 00 067890,55,emily.davis@test.com
4,2024-09-14 18:22:34,Michael Johnson,+374 00 023450,42,michael.johnson@demo.com
5,2025-02-10 09:30:00,Sarah Wilson,+374 00 045612,30,sarah.wilson@example.com
6,2025-06-18 14:50:25,David Brown,+374 00 078945,60,david.brown@mail.com
7,2024-12-25 07:15:45,Jane Doe,+374 00 016789,50,jane.doe@test.com
8,2024-10-03 11:45:30,Robert Taylor,+374 00 012345,48,robert.taylor@demo.com
9,2024-08-20 20:00:00,Mia Harris,+374 00 023456,65,mia.harris@example.com
10,2025-03-30 16:20:10,William Martinez,+374 00 078946,40,william.martinez@mail.com
11,2024-12-02 13:55:25,James Moore,+374 00 056789,70,james.moore@test.com
12,2024-11-01 05:30:00,Isabella Clark,+374 00 017890,58,isabella.clark@demo.com
13,2025-01-14 12:00:00,Alexander Anderson,+374 00 023457,52,alexander.anderson@example.com
14,"",Lucas Lewis,+374 00 045612,35,lucas.lewis@mail.com
15,2024-08-12 17:50:55,Alice Martinez,+374 00 012345,25,alice.martinez@test.com
16,2025-04-20 19:05:40,ArT Clark,+374 00 067890,90,art.clark@demo.com
